X--Trace 1::[AC: FREQUENCY],Mag: Response 2,Phase: Response 2
10,4.978023161,-0.740395298
11.22018454,4.979274708,-0.75365225
12.58925412,4.978347914,-0.832250476
14.12537545,4.977505233,-0.906642933
15.84893192,4.977689268,-1.021412794
17.7827941,4.977176327,-1.123080548
19.95262315,4.976254356,-1.388741387
22.38721139,4.975993986,-1.484109264
25.11886432,4.975029523,-1.69789075
28.18382931,4.975253249,-1.782434253
31.6227766,4.97548912,-2.094572275
35.48133892,4.974245955,-2.277127628
39.81071706,4.972078776,-2.624270758
44.66835922,4.972096896,-2.943807164
50.11872336,4.970252251,-3.374966944
56.23413252,4.969883005,-3.68949406
63.09573445,4.967277278,-4.159086624
70.79457844,4.964770545,-4.674362834
79.43282347,4.962077929,-5.274129275
89.12509381,4.959128917,-5.949598411
100,4.956470771,-6.588338253
112.2018454,4.953309184,-7.360948327
125.8925412,4.949496416,-8.267973458
141.2537545,4.945306835,-9.310759338
158.4893192,4.939540606,-10.32094111
177.827941,4.934606739,-11.59204707
199.5262315,4.92663673,-13.11361418
223.8721139,4.918243172,-14.60175081
251.1886432,4.906582966,-16.51247017
281.8382931,4.895068534,-18.44890345
316.227766,4.882949956,-20.60777419
354.8133892,4.867111205,-23.1664887
398.1071706,4.839565364,-26.26174059
446.6835922,4.726451682,-31.15529958
501.1872336,4.507816319,-37.52968971
562.3413252,4.208638389,-45.2222345
630.9573445,3.878526635,-53.29362761
707.9457844,3.555064828,-61.52114246
794.3282347,3.254687984,-69.77709382
891.2509381,2.980268383,-78.06938849
1000,2.732466922,-86.55167931
1122.018454,2.502374882,-95.5899638
1258.925412,2.289291881,-105.2932169
1412.537545,2.079793782,-116.1918812
1584.893192,1.863029494,-128.4575752
1778.27941,1.62373147,-141.9889976
1995.262315,1.361031024,-156.4137179
2238.721139,1.086778028,-171.1087011
2511.886432,0.821869681,-185.7797392
2818.382931,0.603371691,-198.1170355
3162.27766,0.43223244,-208.6342135
3548.133892,0.30532271,-217.4999808
3981.071706,0.21437613,-224.9485978
4466.835922,0.150282916,-231.046369
5011.872336,0.105269331,-236.2922911
5623.413252,0.073891498,-240.75408
6309.573445,0.051915829,-244.3708088
7079.457844,0.03655311,-247.7656733
7943.282347,0.025741891,-250.884131
8912.509381,0.018168727,-253.2165795
10000,0.012862629,-255.1328986
11220.18454,0.009083453,-257.1364041
12589.25412,0.006441722,-259.6105824
14125.37545,0.004603495,-262.107616
15848.93192,0.003231891,-262.122493
17782.7941,0.002335837,-265.6036956
19952.62315,0.001556105,-266.0535449
22387.21139,0.001166201,-270.6652838
25118.86432,0.000838252,-276.1540833
28183.82931,0.000564286,-271.401266
31622.7766,0.000417189,-277.1778038
35481.33892,0.000305411,-327.8909445
39810.71706,0.000194985,-426.3048007
44668.35922,0.000204841,-265.6890594
50118.72336,0.000235021,-310.5842245
56234.13252,0.000355912,-329.7017886
63095.73445,0.000485255,-467.595496
70794.57844,0.000307226,-185.6488505
79432.82347,0.000739619,-25.76151713
89125.09381,0.000342223,22.57029262
100000,6.75E-16,197.9893588
